source,dataset,model,condition,run,case_idx,ground_truth,prediction,direction_pred,matches_gt,correct,is_faithful,confidence,error_count,categories,subtypes,explanation,primary_category,primary_subtype,premise_contradiction,premise_contradiction_note,error_message
wrong_direction,folio,gpt-5,baseline,1,202,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,1,70,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,1,75,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,1,77,False,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,1,83,False,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,1,159,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,1,89,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,2,25,Uncertain,False,,,,False,LOW,1,FABRICATION,FABRICATED_WORLD_KNOWLEDGE,"The premise that Northern China and Southern China are disjoint regions is common-sense geographical knowledge, but it is not stated in any of the given premises. The premises only provide facts about Beijing without establishing any relationship between Northern and Southern China.",FABRICATION,FABRICATED_WORLD_KNOWLEDGE,False,,
wrong_direction,folio,gpt-5,baseline,2,202,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,2,75,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,2,77,False,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,2,156,False,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,2,83,False,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,2,159,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,3,41,False,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,3,202,Uncertain,True,,,,True,LOW,0,,,,,,False,,
wrong_direction,folio,gpt-5,baseline,3,75,Uncertain,True,,,,True,LOW,0,,,,,,False,,
